bfs_nummer,name,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,status
131,Adliswil,0.028739935154459554,87.62610435477445,0.003416089128453256,106.0951105732477,0.0009239743626176087,0.00011433162341894083,
3714,Rheinwald,0.14641549668667667,82.24082664132848,0.01994347604513511,87.6797337374276,0.01604173557656156,0.0028488796307812514,
5722,Grens,0.07528941331002743,70.89332396671537,0.0030671109906009633,111.02714177463426,0.0002993849819947892,8.714101680153079e-05,
6730,Val Terbi,0.03215546421940277,84.27855904184689,0.011639661458983562,108.51113827964596,0.005556453743620955,0.0008735545946704568,
4123,Windisch,0.16340788604491507,65.0754246512535,0.009473934019875308,97.0225808759463,0.0005854376155457891,0.00020446160116119398,
6719,Pleigne,0.09300011126326947,81.48757942478402,0.01439599477253559,98.34468557500895,0.002126295170098814,0.0003936287045591965,
1707,Risch,0.1451717286254392,75.29355909464793,0.012888234186105952,93.08873825967751,0.0027234140985118683,0.0006728586948568612,
4183,Zeihen,0.056255461576027094,77.67441941933369,0.0018158771724224561,109.29562286976679,0.0008202376771523735,0.00018312282356563875,
5692,Vucherens,0.15535746837773207,75.55334651770991,0.0022674095729393455,90.97871379737434,0.00038482959189707475,9.407795682838895e-05,
5413,Roche (VD),0.2134095195004177,74.67372370009957,0.004258353785722142,81.2425272009934,0.0007536056105077691,0.0001908602391287491,
2583,Schönenwerd,0.15922610060312947,74.51955660122334,0.0029498213761445895,91.0095809950607,0.0004421109893530298,0.00011265184040187026,
5816,Corcelles-près-Payerne,0.16646428438314614,72.42787046770994,0.00881584014108565,91.16089339905949,0.0014287355133838987,0.0003939328064240378,
4141,Reinach (AG),0.01490439983182731,70.96983674179468,0.006436378788931512,125.24041292529584,0.0011260145589340978,0.0003268838647697292,
5821,Missy,0.32239097598989486,65.8551919692913,0.002069075269979263,68.73741132244486,0.0003673989354038675,0.000125447661200518,
2293,Düdingen,0.006748501320542591,85.24093162348011,0.006254353901006,113.2205476367978,0.0036278881705356894,0.0005354424957130388,
5792,Montpreveyres,0.03708457397894949,62.05656788276577,0.003921610041512166,128.07813560888536,0.00048394404943619715,0.00018362498188321792,
1213,Schattdorf,0.23913068697441275,70.23079220992696,0.005086558442763171,79.68280426029146,0.0019263300182365132,0.0005734531858513795,
4571,Gachnang,0.6361469507910451,36.32409199089687,0.0035515887379981297,36.398917702571936,0.001163181907790496,0.0007406666415832071,
5828,Treytorrens (Payerne),0.18383289952457812,74.1480662415259,0.0008756794949152957,86.76579938446895,0.00036201375687617003,9.358755662419095e-05,
5708,Chavannes-des-Bois,0.25861708503568004,70.51648286464673,0.0006698714318711142,76.27170210462528,0.00024809199936055436,7.314624714290955e-05,
4421,Horn,0.07926154442685081,77.71376209304043,0.001038951030837953,104.32470461837222,0.00020938183606827336,4.666333412013548e-05,
602,Arni (BE),0.002523774517903381,76.9492758463854,0.0051160796408561415,122.43118317129971,0.0012320764847501243,0.0002840025518613025,
2143,Morlon,0.4929474306222544,50.059669130060314,8.4791529823118e-05,50.92451915019136,0.0004975772333631104,0.00024849171667502926,
5437,Saubraz,0.40785788488053404,15.662747444258873,0.002980887954088791,77.53186724022709,0.00043456047155763817,0.0003664963624049849,
4801,Berlingen,0.10768563624944741,77.25853862407335,0.004126137849423658,98.87640087517921,0.0004283513650252591,9.741336023047384e-05,
616,Münsingen,0.08135457402969112,85.77663154464746,0.002404641581398908,97.03641847965119,0.0018615728263316278,0.00026477836215386757,
3572,Falera,0.5308692214666118,44.81080203269421,0.0024787508084629733,47.557314655935386,0.0026361985677830174,0.0014548968463850493,
2140,Marsens,0.02267404068335241,73.52524892256302,0.007522679882202324,120.86652492274071,0.0009769164428262863,0.00025863619647281124,
5486,L'Isle,0.11834319975859266,51.26817190056035,0.005317577767897093,117.25419145438585,0.0019054103182954078,0.0009285412809007041,
4791,Wuppenau,0.1639618899057036,72.86838863429088,0.010486510936034149,91.31473549193272,0.0014464636523702221,0.0003924488967073305,
424,Wynigen,0.12007810790433862,64.35560421114876,0.00601535658924946,106.56084834834809,0.003355811173274624,0.0011961586165284996,
4306,Fisibach,0.05481869876150679,66.21992617642968,0.004695909769155994,119.87503104069937,0.0006894082045905695,0.0002328826004564451,
2307,Tentlingen,0.06904907988004215,61.752719390152265,0.004013214865537026,120.38870385845091,0.0004251516952937023,0.00016260896191650713,
249,Unterengstringen,0.18033134993151437,38.592371863790454,0.0035641427783078957,112.08782404436877,0.00039764625688528695,0.00024418513472567355,
553,Wiggiswil,0.20738626876495694,66.56547507237737,0.0017488959759984202,87.59585843779753,0.0001705952125177428,5.703769885457553e-05,
6253,Crans-Montana,0.07211242447249458,86.06693096975965,0.007644521624992684,98.60633715432787,0.0069693076035861855,0.0009710384393374535,
1065,Root,0.06093830846911243,82.57553567129938,0.009173489946773524,103.93518192281243,0.0011733355161169076,0.0002044474284617659,
4209,Seon,0.039025948594292335,82.84834862936664,0.0014997088867518141,108.35118911016453,0.0011451193995527813,0.00019640688718878315,
62,Kloten,0.05770086230266347,72.95898075606902,0.005258978729001069,113.1800560558603,0.002286928349915077,0.0006184087351954492,
3513,Lantsch/Lenz,0.16400545855782625,83.41767838634081,0.009421863723672775,83.73000640256897,0.0025653880783523134,0.00042540090179085183,
4193,Brunegg,0.07120527692149375,67.10491027326952,0.004209697733966472,115.22745520441676,0.00018524940395558148,6.0937957649421916e-05,
2861,Sissach,0.016539114508775155,52.18202482366847,0.0014212029377162498,143.00797154144138,0.0010614496395670151,0.0005075637251574158,
4191,Ammerswil,0.25585533880877226,74.03427148616116,0.0008453558900794121,74.63974668893081,0.0003794448501865303,9.8525619659177e-05,
6754,Le Noirmont,0.08090621498589635,76.62428479075109,0.005164679147121323,104.90628280083736,0.002420812278743716,0.0005658821840296596,
5714,Crassier,0.12024027933365342,66.54454950390287,0.001873963240254023,104.8067383541035,0.00023737395251625622,7.941452517470519e-05,
6810,La Baroche,0.04088310414054556,75.04634895794283,0.005824697507622492,115.13796067688038,0.0037029472824214537,0.0009240205431267887,
6630,Meyrin,0.0913128760595446,83.20674417744235,0.00798903751513849,97.24848854733878,0.001158753706548325,0.00019459247429402926,
4120,Veltheim (AG),0.02379457017136098,82.19979889306181,0.003558988865684848,112.32448315900896,0.0006245232815533974,0.00011116640007615458,
5930,Suscévaz,0.2977111887754384,60.966575803278936,0.002915593487096669,75.241408908356,0.000489456990132911,0.00019105182321908234,
4305,Endingen,0.1438540662751669,84.08519934946992,0.006177343461992645,86.75930624493216,0.0014230239602603626,0.00022647142648471517,
1366,Morschach,0.10899658938940308,77.2343894038181,0.005935489263097285,98.63382700492642,0.0027780845781285057,0.0006324479170893182,
